species_name,pi,total_requested
arrowtooth flounder,Kalei Shotwell,800
Atka mackerel,Sandra Lowe,100
blackspotted rockfish,Jane Sullivan,250
Dover sole,Carey McGilliard,500
dusky rockfish,Ben Williams,500
flathead sole,Maia Kapur,500
northern rock sole,Meaghan Bryan,500
northern rockfish,Ben Williams,500
Pacific cod,Pete Hulson,1000
Pacific ocean perch,Pete Hulson,1000
Silvergray rockfish,Kristen Omori,200
rex sole,Carey McGilliard,700
rougheye rockfish,Jane Sullivan,300
sablefish,Daniel Goethel,400
harlequin rockfish,Kristen Omori,200
shortraker rockfish,Katy Echave,400
shortspine thornyhead,Katy Echave,350
southern rock sole,Meaghan Bryan,500
walleye pollock,Cole Monnahan,1500
